Mask	Count	Complexity	Length
?l?l?l?l?l?s?l?l?l?l	365451	2.0	10.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l	365310	1.0	17.0
?l?l?l?l?l?l?l?l?l?l?l?l?d?d?d	363181	2.0	15.0
?l?l?l?d?d?d?d?d?d?d?d?d	339315	2.0	12.0
?d?d?d?d?d?d?d?d?d?d?d?d?d	333758	1.0	13.0
?l?l?l?l?l?l?l?l?l?l?l?l?d?d?d?d	331496	2.0	16.0
?l?l?l?l?s?l?l?l?l	326544	2.0	9.0
?l?l?l?l?l?d?l?l?l?l	323884	2.0	10.0
?u?l?l?l?l?l?l?l?l?l?l	322166	2.0	11.0
?d?l?l?l?l?l?l?d	321813	2.0	8.0
?u?u?u?u?u?d?d?d?d	320004	2.0	9.0
?d?d?d?d?d?d?d?d?d?d?d?l	314848	2.0	12.0
?l?l?l?l?l?l?d?d?s	310070	3.0	9.0
?l?d?d?d?d?d?d?d?d?d?d	308660	2.0	11.0
?u?l?l?l?l?l?l?l?d?d?d	307010	3.0	11.0
?l?l?l?l?d?d?l?l	306591	2.0	8.0
?u?l?l?l?l?l?l?l?l?l?d	303670	3.0	11.0
?l?l?l?l?s?l?l?l?l?l	302077	2.0	10.0
?l?d?l?d?l?d?l?d	300669	2.0	8.0
?l?l?l?l?d?d?l?l?l?l	295436	2.0	10.0
?l?l?l?l?l?l?l?l?d?d?d?d?d	292662	2.0	13.0
?l?l?l?l?l?l?s?d	292433	3.0	8.0
?l?l?l?l?l?d?d?l	292045	2.0	8.0
?u?l?l?l?l?l?l?l?l?l?d?d	291472	3.0	12.0
?l?l?l?l?l?l?d?d?d?d?d?d?d	283166	2.0	13.0
?d?d?l?l?l?l?l?d?d	280403	2.0	9.0
?d?d?d?d?l?l?l?l?l?l?l	276330	2.0	11.0
?d?d?d?d?d?d?d?d?d?d?l	276315	2.0	11.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l	274907	1.0	18.0
?d?d?l?l?l?l?l?l?d?d	272819	2.0	10.0
?d?d?d?d?d?d?l?l?l?l?l?l	271109	2.0	12.0
?l?l?d?d?l?l?d?d	270822	2.0	8.0
?u?u?u?u?u?u?d?d?d?d	270800	2.0	10.0
?u?l?d?d?d?d?d?d	268565	3.0	8.0
?l?l?l?l?s?d?d?d?d	262538	3.0	9.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?d	256421	2.0	14.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?d?d	255809	2.0	16.0
?l?l?l?l?l?s?d?d?d?d	255454	3.0	10.0
?u?u?u?u?u?u?u?u?u?u?u	253259	1.0	11.0
?l?l?l?l?l?l?l?l?s?d	250368	3.0	10.0
?l?l?l?l?l?l?d?l?l?l	250033	2.0	10.0
?d?d?d?d?d?d?d?d?l?l?l?l?l	247304	2.0	13.0
?l?l?l?d?l?l?l?d	247029	2.0	8.0
?d?d?d?d?d?d?d?l?l?l?l	244443	2.0	11.0
?u?l?l?l?l?l?l?l?l?l?l?l	238995	2.0	12.0
?l?l?l?l?d?l?l?l?l?l	238182	2.0	10.0
?l?l?l?l?l?l?s?l?l?l	238087	2.0	10.0
?l?l?l?l?l?l?l?l?l?d?d?d?d?d?d	232753	2.0	15.0
?u?u?u?u?u?d?d?d	228262	2.0	8.0
?l?l?l?l?l?l?l?d?d?d?d?d?d?d?d	227996	2.0	15.0
?l?l?l?l?l?l?l?s?d	226820	3.0	9.0
